0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,date,125,126,127,128
13.0,14.0,7.0,16.0,10.0,13.0,17.0,11.0,8.0,6.0,5.0,11.0,13.0,11.0,8.0,15.0,15.0,7.0,5.0,5.0,4.0,6.0,13.0,9.0,3.0,8.0,5.0,15.0,14.0,7.0,10.0,9.0,10.0,5.0,14.0,19.0,8.0,7.0,6.0,3.0,7.0,8.0,5.0,5.0,14.0,18.0,7.0,5.0,7.0,4.0,9.0,10.0,14.0,19.0,15.0,10.0,4.0,14.0,4.0,15.0,13.0,18.0,17.0,9.0,5.0,11.0,14.0,8.0,10.0,17.0,6.0,11.0,6.0,13.0,8.0,9.0,9.0,7.0,12.0,9.0,8.0,6.0,4.0,5.0,9.0,6.0,15.0,15.0,10.0,9.0,4.0,4.0,5.0,7.0,5.0,3.0,6.0,11.0,7.0,14.0,15.0,8.0,15.0,6.0,7.0,15.0,21.0,90.0,20.0,13.0,8.0,4.0,10.0,7.0,46.0,20.0,30.0,81.0,128.0,8.0,10.0,5.0,13.0,16.0,19.0,2023-07-21 09:53:31.394415+00:00,15.0,8.0,3.0,
13.0,4.0,3.0,6.0,17.0,17.0,4.0,11.0,6.0,7.0,16.0,10.0,12.0,8.0,2.0,3.0,4.0,13.0,8.0,12.0,10.0,12.0,15.0,5.0,11.0,7.0,13.0,13.0,3.0,5.0,12.0,4.0,5.0,6.0,3.0,3.0,16.0,8.0,4.0,3.0,16.0,18.0,7.0,3.0,9.0,14.0,3.0,4.0,3.0,6.0,15.0,11.0,4.0,3.0,18.0,3.0,5.0,9.0,4.0,11.0,10.0,2.0,6.0,16.0,4.0,5.0,6.0,6.0,3.0,5.0,4.0,2.0,5.0,12.0,15.0,6.0,18.0,3.0,4.0,12.0,3.0,2.0,6.0,18.0,19.0,10.0,10.0,4.0,6.0,12.0,3.0,9.0,10.0,12.0,12.0,11.0,15.0,18.0,6.0,5.0,3.0,8.0,5.0,2.0,13.0,8.0,13.0,16.0,6.0,9.0,1.0,2.0,28.0,16.0,19.0,130.0,16.0,9.0,11.0,5.0,11.0,18.0,17.0,3.0,13.0,2023-07-27 12:46:37.421125+00:00,17.0,3.0,,
5.0,8.0,7.0,5.0,12.0,13.0,13.0,12.0,3.0,3.0,5.0,14.0,12.0,11.0,15.0,9.0,14.0,9.0,3.0,2.0,5.0,6.0,9.0,12.0,3.0,5.0,6.0,14.0,5.0,3.0,3.0,2.0,9.0,9.0,14.0,6.0,5.0,4.0,7.0,3.0,10.0,14.0,20.0,16.0,14.0,4.0,5.0,2.0,5.0,6.0,11.0,4.0,14.0,10.0,13.0,12.0,10.0,9.0,3.0,7.0,16.0,10.0,11.0,5.0,6.0,8.0,7.0,7.0,4.0,3.0,14.0,10.0,9.0,4.0,7.0,14.0,16.0,7.0,9.0,15.0,10.0,3.0,3.0,4.0,14.0,14.0,21.0,18.0,6.0,13.0,3.0,3.0,5.0,5.0,4.0,5.0,15.0,11.0,15.0,15.0,16.0,15.0,14.0,14.0,6.0,13.0,20.0,132.0,30.0,24.0,4.0,2.0,6.0,4.0,12.0,36.0,83.0,45.0,19.0,6.0,5.0,3.0,4.0,14.0,17.0,2023-07-28 10:58:12.621399+00:00,12.0,12.0,4.0,5.0
5.0,8.0,7.0,5.0,12.0,13.0,13.0,12.0,3.0,3.0,5.0,14.0,12.0,11.0,15.0,9.0,14.0,9.0,3.0,2.0,5.0,6.0,9.0,12.0,3.0,5.0,6.0,14.0,5.0,3.0,3.0,2.0,9.0,9.0,14.0,6.0,5.0,4.0,7.0,3.0,10.0,14.0,20.0,16.0,14.0,4.0,5.0,2.0,5.0,6.0,11.0,4.0,14.0,10.0,13.0,12.0,10.0,9.0,3.0,7.0,16.0,10.0,11.0,5.0,6.0,8.0,7.0,7.0,4.0,3.0,14.0,10.0,9.0,4.0,7.0,14.0,16.0,7.0,9.0,15.0,10.0,3.0,3.0,4.0,14.0,14.0,21.0,18.0,6.0,13.0,3.0,3.0,5.0,5.0,4.0,5.0,15.0,11.0,15.0,15.0,16.0,15.0,14.0,14.0,6.0,13.0,20.0,132.0,30.0,24.0,4.0,2.0,6.0,4.0,12.0,36.0,83.0,45.0,19.0,6.0,5.0,3.0,4.0,14.0,17.0,2023-07-28 11:58:28.689981+00:00,12.0,12.0,4.0,5.0
15.0,10.0,6.0,3.0,2.0,19.0,5.0,3.0,8.0,5.0,9.0,3.0,12.0,4.0,11.0,8.0,12.0,17.0,3.0,7.0,7.0,8.0,13.0,11.0,8.0,5.0,8.0,19.0,7.0,8.0,7.0,2.0,14.0,12.0,4.0,2.0,3.0,9.0,15.0,4.0,4.0,2.0,3.0,10.0,2.0,7.0,5.0,8.0,6.0,9.0,4.0,12.0,3.0,17.0,7.0,15.0,15.0,16.0,5.0,8.0,6.0,11.0,14.0,6.0,16.0,10.0,14.0,15.0,6.0,17.0,7.0,14.0,7.0,6.0,2.0,4.0,7.0,4.0,3.0,3.0,2.0,2.0,10.0,4.0,9.0,3.0,7.0,10.0,2.0,13.0,6.0,6.0,9.0,10.0,4.0,4.0,15.0,9.0,3.0,2.0,5.0,4.0,4.0,7.0,6.0,8.0,3.0,2.0,30.0,13.0,15.0,6.0,8.0,13.0,21.0,4.0,61.0,33.0,14.0,19.0,4.0,10.0,7.0,16.0,3.0,2023-07-31 16:39:36.038270+00:00,10.0,6.0,9.0,2.0
3.0,16.0,8.0,17.0,11.0,8.0,7.0,10.0,5.0,8.0,12.0,18.0,4.0,10.0,12.0,4.0,8.0,4.0,12.0,2.0,13.0,8.0,10.0,5.0,10.0,10.0,12.0,16.0,8.0,8.0,5.0,3.0,4.0,17.0,3.0,9.0,4.0,13.0,9.0,13.0,18.0,8.0,13.0,14.0,10.0,15.0,14.0,8.0,5.0,6.0,15.0,5.0,10.0,7.0,4.0,4.0,7.0,15.0,15.0,11.0,17.0,5.0,14.0,13.0,3.0,14.0,7.0,3.0,13.0,10.0,11.0,17.0,5.0,5.0,16.0,13.0,19.0,13.0,16.0,4.0,4.0,16.0,10.0,17.0,10.0,11.0,10.0,4.0,6.0,17.0,13.0,10.0,9.0,15.0,17.0,14.0,4.0,11.0,11.0,3.0,3.0,7.0,15.0,14.0,6.0,16.0,21.0,19.0,47.0,35.0,18.0,8.0,20.0,16.0,37.0,24.0,18.0,115.0,25.0,19.0,7.0,15.0,13.0,11.0,7.0,2023-08-02 11:33:13.597292+00:00,4.0,5.0,9.0,9.0
9.0,5.0,7.0,8.0,6.0,3.0,18.0,13.0,3.0,2.0,6.0,8.0,8.0,12.0,18.0,9.0,6.0,8.0,4.0,4.0,10.0,13.0,12.0,7.0,7.0,7.0,5.0,11.0,9.0,7.0,8.0,10.0,15.0,7.0,4.0,5.0,14.0,10.0,13.0,4.0,4.0,8.0,7.0,15.0,11.0,6.0,4.0,3.0,9.0,6.0,3.0,14.0,5.0,15.0,13.0,11.0,3.0,10.0,5.0,14.0,14.0,11.0,11.0,5.0,1.0,9.0,1.0,14.0,14.0,14.0,10.0,4.0,16.0,11.0,5.0,6.0,3.0,12.0,11.0,15.0,10.0,1.0,6.0,4.0,2.0,10.0,9.0,13.0,15.0,7.0,7.0,7.0,9.0,6.0,14.0,6.0,6.0,7.0,4.0,14.0,14.0,12.0,5.0,10.0,8.0,11.0,18.0,12.0,32.0,14.0,7.0,6.0,12.0,11.0,13.0,33.0,37.0,24.0,37.0,4.0,12.0,14.0,9.0,4.0,18.0,2023-08-08 15:37:26.013296+00:00,2.0,11.0,8.0,
2.0,2.0,3.0,6.0,3.0,2.0,5.0,5.0,4.0,3.0,9.0,7.0,13.0,9.0,4.0,8.0,12.0,13.0,13.0,4.0,6.0,12.0,11.0,3.0,8.0,6.0,16.0,15.0,8.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,13.0,2.0,13.0,11.0,6.0,12.0,6.0,4.0,4.0,10.0,6.0,3.0,5.0,5.0,8.0,7.0,9.0,3.0,2.0,11.0,17.0,8.0,10.0,10.0,12.0,10.0,13.0,1.0,5.0,3.0,8.0,5.0,5.0,3.0,2.0,5.0,10.0,3.0,3.0,4.0,6.0,3.0,9.0,2.0,3.0,3.0,8.0,4.0,3.0,5.0,6.0,5.0,14.0,7.0,6.0,5.0,9.0,8.0,8.0,4.0,8.0,5.0,8.0,4.0,8.0,12.0,11.0,7.0,7.0,39.0,3.0,18.0,30.0,7.0,3.0,17.0,22.0,22.0,42.0,33.0,17.0,21.0,32.0,19.0,27.0,13.0,10.0,13.0,2023-08-16 17:17:53.829534+00:00,10.0,9.0,12.0,3.0
14.0,11.0,11.0,2.0,17.0,17.0,9.0,12.0,16.0,14.0,11.0,2.0,4.0,8.0,18.0,15.0,15.0,5.0,13.0,3.0,9.0,9.0,1.0,13.0,7.0,7.0,11.0,5.0,16.0,6.0,4.0,6.0,3.0,3.0,2.0,13.0,18.0,18.0,15.0,12.0,2.0,2.0,3.0,11.0,16.0,11.0,12.0,14.0,2.0,6.0,3.0,3.0,3.0,14.0,12.0,15.0,13.0,10.0,6.0,9.0,13.0,16.0,7.0,3.0,6.0,3.0,10.0,5.0,3.0,16.0,3.0,11.0,12.0,14.0,1.0,2.0,3.0,5.0,19.0,15.0,12.0,13.0,15.0,15.0,2.0,2.0,16.0,12.0,16.0,16.0,13.0,5.0,6.0,7.0,11.0,10.0,14.0,17.0,8.0,12.0,10.0,11.0,7.0,10.0,9.0,14.0,9.0,14.0,16.0,56.0,7.0,6.0,23.0,34.0,6.0,11.0,31.0,35.0,57.0,4.0,28.0,7.0,9.0,2.0,18.0,2023-08-17 10:15:45.682577+00:00,12.0,9.0,5.0,9.0
3.0,3.0,5.0,1.0,3.0,8.0,9.0,3.0,2.0,2.0,3.0,1.0,4.0,5.0,8.0,14.0,13.0,6.0,7.0,4.0,2.0,3.0,1.0,8.0,3.0,4.0,3.0,3.0,7.0,2.0,6.0,6.0,4.0,3.0,13.0,14.0,4.0,5.0,5.0,3.0,3.0,4.0,10.0,7.0,6.0,8.0,4.0,3.0,5.0,1.0,3.0,13.0,3.0,4.0,7.0,14.0,7.0,11.0,2.0,2.0,11.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,8.0,6.0,13.0,8.0,3.0,6.0,3.0,4.0,3.0,7.0,12.0,3.0,3.0,4.0,3.0,7.0,4.0,13.0,8.0,3.0,2.0,6.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,7.0,14.0,3.0,12.0,4.0,7.0,2.0,1.0,1.0,87.0,30.0,4.0,3.0,3.0,5.0,14.0,2.0,4.0,11.0,6.0,3.0,3.0,2.0,2.0,3.0,2.0,2023-08-21 09:18:20.033431+00:00,2.0,5.0,1.0,
